企业ID,行业名称,经营年份,注册金额（万元）,所在城市,城市等级,企业信用评分,月均营收（万元）,月均成本（万元）,员工人数,是否通过贷款,零售品类,门店面积（㎡）,月均客流量（人）
RETL-202512-435903,零售行业,1.0,224.5,常州,三线及以下,702.0,142.3,104.6,13,通过,综合商超,267.5,4702
RETL-202512-277910,零售行业,6.0,471.3,宁波,二线城市,895.0,218.0,163.3,55,通过,文具零售,580.4,3293
RETL-202512-052798,零售行业,7.0,382.9,泉州,三线及以下,393.0,704.6,535.4,98,通过,生鲜零售,1245.2,26286
RETL-202512-862390,零售行业,9.0,483.7,宁波,二线城市,612.0,399.0,274.5,37,通过,服饰零售,655.2,5221
RETL-202512-126043,零售行业,12.0,237.2,深圳,一线城市,941.0,37.6,31.0,32,通过,文具零售,237.7,9887
RETL-202512-799532,零售行业,13.0,443.5,唐山,三线及以下,530.0,332.2,236.6,23,通过,综合商超,440.2,6473
RETL-202512-165395,零售行业,1.0,321.5,保定,三线及以下,369.0,310.9,243.7,39,通过,服饰零售,656.4,3868
RETL-202512-420293,零售行业,5.0,490.3,邯郸,三线及以下,920.0,164.5,134.5,40,通过,便利店,538.1,3875
RETL-202512-088293,零售行业,10.0,245.3,大连,二线城市,300.0,379.2,315.7,41,通过,便利店,104.9,7030
RETL-202512-198348,零售行业,6.0,150.6,宁波,二线城市,723.0,388.5,286.0,9,通过,文具零售,478.8,5246
RETL-202512-424575,零售行业,8.0,182.2,武汉,新一线城市,780.0,320.4,258.7,5,通过,服饰零售,674.7,7653
RETL-202512-764837,零售行业,6.0,246.0,济南,二线城市,583.0,218.9,168.6,17,通过,家电零售,254.6,9869
RETL-202512-916510,零售行业,14.0,254.9,厦门,二线城市,335.0,58.2,49.4,58,通过,便利店,411.2,7171
RETL-202512-078934,零售行业,3.0,124.6,青岛,二线城市,389.0,232.8,194.3,49,通过,便利店,474.2,2802
RETL-202512-946341,零售行业,2.0,176.4,重庆,新一线城市,843.0,293.7,236.4,14,通过,服饰零售,181.9,3504
RETL-202512-190510,零售行业,8.0,102.2,武汉,新一线城市,486.0,275.3,222.6,34,通过,生鲜零售,110.9,7815
RETL-202512-133637,零售行业,8.0,16.8,青岛,二线城市,846.0,99.6,75.4,48,通过,便利店,453.1,6977
RETL-202512-198650,零售行业,1.0,14.4,广州,一线城市,320.0,101.1,83.4,7,通过,生鲜零售,649.0,8689
RETL-202512-222817,零售行业,10.0,409.9,武汉,新一线城市,494.0,702.9,482.7,69,通过,家电零售,841.5,34893
